word,level,meaning_en
여행사,I,"travel agency, travel firm"
역,I,station
역사,I,history
연락처,I,contact information
연세,I,age  (honorific form)
연습,I,practice
연습하다,I,practice
연예인,I,celebrity
연필,I,pencil
연휴,I,consecutive holidays
열,I,10
열다,I,open
열리다,I,be opened
열쇠,I,key
열심히,I,"hard, enthusiastic"
열차,I,train
엽서,I,postcard
영,I,"spirit, zero"
영국,I,The United Kingdom
영상,I,video
영어,I,English
영어회화,I,English conversation
영하,I,"minus, below zero"
영화,I,movie
영화관,I,movie theater
영화배우,I,movie star
영화표,I,movie ticket
옆,I,side
예,I,yes
예문,I,"example, model sentence"
예쁘다,I,"pretty, beautiful"
예순,I,60
예약,I,reservation
옛날,I,"a long ago, olden days"
오,I,5
오늘,I,today
오다,I,come
오래,I,"long, much"
오래간만,I,after a long time
오래간만입니다,I,Long time no see.
오랜만,I,after a long time
오랜만에,I,after a long time
오랫동안,I,for a long time
오렌지,I,orange
오르다,I,climb
오른쪽,I,"right side, right"
오리,I,duck
오빠,I,brother (as seen from the younger sister)
오십,I,50
오월,I,May
오이,I,cucumber
오전,I,"morning, a.m."
오징어,I,squid
오후,I,afternoon
올라가다,I,go up
올라오다,I,come up
올려놓다,I,"put on, place"
올림픽,I,olympic
올해,I,this year
옮기다,I,"move, transfer, translate"
옷,I,"dress, clothes"
옷가게,I,clothing store
옷장,I,closet
와이셔츠,I,shirt
왜,I,why
왜냐하면,I,because
외국,I,foreign country
외국어,I,foreign language
외국인,I,foreigner
외롭다,I,lonely
외삼촌,I,maternal uncle
외숙모,I,maternal aunt
외출하다,I,go out
외할머니,I,maternal grandmother
외할아버지,I,maternal grandfather
왼쪽,I,left
요금,I,fee
요르단,I,Jordan
요리,I,"cooking, cuisine"
요일,I,day of the week
요즘,I,"nowadays, around this time, lately"
우리,I,"we, us"
우리나라,I,"our country, South Korea"
우산,I,umbrella
우선,I,first
우유,I,milk
우체국,I,post office
우표,I,stamp
운동,I,exercise
운동복,I,"sportswear, gym clothes"
운동선수,I,athlete
운동장,I,"playground, athletic field"
운동하다,I,exercise
운동화,I,sports shoes
운전하다,I,drive
울다,I,cry
울리다,I,"make cry, chime"
움직이다,I,move
웃기다,I,"funny, make someone laugh"
웃다,I,laugh
원,I,won (currency units of Korea)
원피스,I,one-piece dress
원하다,I,"want, wish, desire"
월,I,month
월급,I,monthly salary
월드컵,I,world cup
월세,I,monthly rent
월요일,I,Monday
웬일,I,"for some reason,  What was it?"
위,I,"top, up"
위치,I,"location, position"
위하다,I,"for, in favor of, for the sake of"
위험하다,I,dangerous
유럽,I,Europe
유리,I,glass
유명하다,I,famous
유월,I,June
유학,I,study abroad
유학생,I,"foreign student, international student"
유행,I,trend
육,I,6
육십,I,60
은행,I,bank
은행원,I,bank clerk
음료수,I,"drink, soft drink"
음반,I,record
음식,I,"food, cooking"
음악,I,music
음악가,I,musician
응,I,Yeah (answer)
의미,I,meaning
의사,I,doctor
의자,I,chair
이,I,"this, tooth, 2"
이거,I,this
이것,I,this
이곳,I,"this place, here"
이따가,I,later
이런,I,"this, such ~"
이렇게,I,"like this, so, in this way"
이렇다,I,like this
이름,I,name
이메일,I,e-mail
이모,I,maternal aunt
이모부,I,maternal uncle
이번,I,this time
이분,I,this person
이사,I,"move, moving"
이상,I,"more than, strange"
이상하다,I,"strange, funny, weird"
이십,I,20
이야기,I,story
이야기하다,I,talk
이용,I,usage
이용하다,I,use
이월,I,February
이유,I,reason
이제,I,now
이집트,I,Egypt
이쪽,I,"this way, here, this person"
이틀,I,two days
이해,I,understanding
이해하다,I,understand
인,I,"sign,  ~   person(s)"
인구,I,population
인기,I,popularity
인기스타,I,popular star
인도,I,India
인사,I,greetings
인사하다,I,greet
인삼,I,ginseng
인상,I,impression
인천,I,Incheon
인터넷,I,internet
인터뷰하다,I,interview
인형,I,doll
일,I,"work, 1, day"
일곱,I,7
일기,I,diary
일기예보,I,weather forecast
일본,I,Japan
일본드라마,I,Japanese drama
일본말,I,Japanese language
일본사람,I,Japanese people
일본어,I,Japanese language
일본요리,I,Japanese food
일상생활,I,everyday life
일식,I,"Japanese style, Japanese food"
일어나다,I,"rise, stand, occur"
일어서다,I,"get up, stand up"
일요일,I,Sunday
일월,I,January
일주일,I,one week
일찍,I,early
일하다,I,work
일흔,I,70
읽기,I,reading
읽다,I,read
잃다,I,lose
잃어버리다,I,lose
입,I,mouth
입구,I,entrance
입다,I,"put on, wear"
입원하다,I,hospitalize
입학,I,admission
